id,fecha,iniciador,objetivo,provincia,fuente
607,2015-02-23,Kurdistan Sirio,ISIS,Hasakeh,Media
608,2016-05-28,Oposicion,ISIS,Aleppo,Twitter
609,2015-02-26,Kurdistan Sirio,ISIS,Hasakeh,SOHR
610,2016-09-19,Oposicion,ISIS,Aleppo,SOHR
611,2015-06-13,Kurdistan Sirio,ISIS,Raqqa,Media
612,2016-09-06,Oposicion,ISIS,Aleppo,Twitter
613,2015-03-09,Kurdistan Sirio,ISIS,Aleppo,SOHR
614,2016-09-04,Oposicion,ISIS,Aleppo,SOHR
615,2015-06-06,Kurdistan Sirio,ISIS,Raqqa,Media
616,2015-05-20,Kurdistan Sirio,ISIS,Hasakeh,Media
617,2015-07-26,Kurdistan Sirio,ISIS,Aleppo,SOHR
618,2015-05-29,Kurdistan Sirio,ISIS,Hasakeh,Media
619,2016-06-10,Kurdistan Sirio,ISIS,Aleppo,Twitter
620,2015-02-26,Kurdistan Sirio,ISIS,Hasakeh,SOHR
621,2016-06-10,Kurdistan Sirio,ISIS,Aleppo,Media
622,2016-06-07,Kurdistan Sirio,ISIS,Aleppo,Twitter
623,2016-10-10,Oposicion,ISIS,Aleppo,Twitter
624,2016-06-10,Kurdistan Sirio,ISIS,Aleppo,Twitter
625,2015-02-28,Kurdistan Sirio,ISIS,Hasakeh,Media
626,2015-05-25,Kurdistan Sirio,ISIS,Raqqa,Twitter
627,2015-02-26,Kurdistan Sirio,ISIS,Hasakeh,SOHR
628,2015-02-28,Kurdistan Sirio,ISIS,Hasakeh,Media
629,2015-06-13,Kurdistan Sirio,ISIS,Raqqa,Media
630,2016-10-10,Oposicion,ISIS,Aleppo,SOHR
631,2016-09-19,Oposicion,ISIS,Aleppo,SOHR
632,2015-03-02,Kurdistan Sirio,ISIS,Hasakeh,Media
633,2015-09-03,Kurdistan Sirio,ISIS,Hasakeh,Twitter
634,2016-10-09,Oposicion,ISIS,Aleppo,SOHR
635,2015-03-28,Kurdistan Sirio,ISIS,Aleppo,Media
636,2015-02-26,Kurdistan Sirio,ISIS,Hasakeh,SOHR
637,2015-05-25,Kurdistan Sirio,ISIS,Aleppo,Twitter
638,2016-10-09,Oposicion,ISIS,Aleppo,SOHR
639,2015-05-31,Kurdistan Sirio,ISIS,Raqqa,Media
640,2015-06-13,Kurdistan Sirio,ISIS,Raqqa,SOHR
641,2016-09-06,Oposicion,ISIS,Aleppo,Twitter
642,2015-05-20,Kurdistan Sirio,ISIS,Hasakeh,Media
643,2015-06-05,Kurdistan Sirio,ISIS,Raqqa,Media
644,2015-06-13,Kurdistan Sirio,ISIS,Raqqa,Twitter
645,2015-06-11,Kurdistan Sirio,ISIS,Raqqa,SOHR
646,2016-09-20,ISIS,Oposicion,Aleppo,Twitter
647,2016-09-19,Oposicion,ISIS,Aleppo,SOHR
648,2015-03-02,Kurdistan Sirio,ISIS,Hasakeh,Media
649,2016-10-09,Oposicion,ISIS,Aleppo,SOHR
650,2016-06-10,Kurdistan Sirio,ISIS,Aleppo,Twitter
651,2016-10-10,CJTF-OIR,ISIS,Aleppo,SOHR
652,2016-03-25,Oposicion,ISIS,Aleppo,SOHR
653,2016-10-10,Oposicion,ISIS,Aleppo,Twitter
654,2015-06-04,Kurdistan Sirio,ISIS,Raqqa,Media
655,2015-05-20,Kurdistan Sirio,ISIS,Hasakeh,Media
656,2015-06-12,Kurdistan Sirio,ISIS,Raqqa,Media
657,2015-06-08,Kurdistan Sirio,ISIS,Raqqa,Twitter
658,2016-05-28,Oposicion,ISIS,Aleppo,Twitter
659,2016-06-11,Oposicion,ISIS,Aleppo,Twitter
660,2015-06-13,Kurdistan Sirio,ISIS,Raqqa,Twitter
661,2015-03-13,Kurdistan Sirio,ISIS,Hasakeh,Twitter
662,2016-09-19,Oposicion,ISIS,Aleppo,SOHR
663,2015-02-26,Kurdistan Sirio,ISIS,Hasakeh,SOHR
664,2015-06-05,Kurdistan Sirio,ISIS,Raqqa,Media
665,2016-06-13,Kurdistan Sirio,ISIS,Aleppo,Media
666,2015-04-17,Kurdistan Sirio,ISIS,Aleppo,Twitter
667,2015-03-13,Kurdistan Sirio,ISIS,Hasakeh,SOHR
668,2016-08-27,Oposicion,ISIS,Aleppo,Twitter
669,2015-02-26,Kurdistan Sirio,ISIS,Aleppo,Media
670,2015-02-18,Kurdistan Sirio,ISIS,Aleppo,SOHR
671,2016-04-01,Oposicion,ISIS,Aleppo,Twitter
672,2015-02-26,Kurdistan Sirio,ISIS,Hasakeh,SOHR
673,2015-05-31,Kurdistan Sirio,ISIS,Raqqa,SOHR
674,2015-02-18,Kurdistan Sirio,ISIS,Aleppo,SOHR
675,2016-09-19,Oposicion,ISIS,Aleppo,SOHR
676,2016-10-10,Oposicion,ISIS,Aleppo,SOHR
